# This file contains frame element data, the format is:
# sprite x y flipped next
41 -6 -28 n 153
714 -7 0 n 154
714 -4 0 n 0
265 -8 -15 f 156
165 -8 -24 f 157
42 -9 -29 f 158
714 -7 0 n 159
714 -3 -1 n 0
266 -7 -14 f 161
166 -7 -23 f 162
42 -9 -28 f 163
714 -5 0 n 0
267 -8 -15 f 165
167 -8 -24 f 166
42 -9 -29 f 167
714 -4 0 n 168
714 -6 1 n 0
268 -8 -15 f 170
168 -8 -23 f 171
42 -9 -28 f 172
714 -9 0 n 173
714 -2 0 n 0
269 -8 -15 f 175
169 -8 -23 f 176
43 -10 -29 f 177
714 -5 0 n 178
714 -3 0 n 0
270 -7 -14 f 180
170 -8 -22 f 181
43 -10 -28 f 182
714 -2 0 n 183
714 -9 0 n 0
271 -8 -14 f 185
171 -8 -23 f 186
43 -10 -29 f 187
714 -5 0 n 188
714 -3 0 n 0
272 -7 -13 f 190
172 -8 -23 f 191
43 -10 -28 f 192
714 -2 0 n 193
714 -9 0 n 0
264 -8 -14 f 195
173 -10 -23 f 196
44 -12 -29 f 197
714 -8 0 n 198
714 -5 0 n 199
845 -9 -34 n 0
264 -8 -14 f 201
173 -10 -23 f 202
44 -12 -29 f 203
714 -8 0 n 204
714 -5 0 n 205
846 -9 -37 n 0
264 -8 -14 f 207
173 -10 -23 f 208
44 -12 -29 f 209
714 -8 0 n 210
714 -5 0 n 211
847 -9 -28 n 0
264 -8 -14 f 213
173 -10 -23 f 214
44 -12 -29 f 215
714 -8 0 n 216
714 -5 0 n 217
848 -8 -34 n 0
178 -8 -24 n 219
45 -8 -30 n 220
277 -9 -15 f 221
714 -5 0 n 222
714 -8 -1 n 223
845 -9 -35 n 0
178 -8 -24 n 225
45 -8 -30 n 226
277 -9 -15 f 227
714 -5 0 n 228
714 -8 -1 n 229
846 -8 -36 n 0
178 -8 -24 n 231
45 -8 -30 n 232
277 -9 -15 f 233
714 -5 0 n 234
714 -8 -1 n 235
847 -8 -28 n 0
178 -8 -24 n 237
45 -8 -30 n 238
277 -9 -15 f 239
714 -5 0 n 240
714 -8 -1 n 241
848 -8 -35 n 0
262 -9 -14 f 243
173 -8 -23 n 244
44 -7 -29 n 245
714 -8 0 n 246
714 -5 0 n 247
845 -9 -34 n 0
262 -9 -14 f 249
173 -8 -23 n 250
44 -7 -29 n 251
714 -8 0 n 252
714 -5 0 n 253
846 -8 -36 n 0
262 -9 -14 f 255
173 -8 -23 n 256
44 -7 -29 n 257
714 -8 0 n 258
714 -5 0 n 259
847 -7 -30 n 0
262 -9 -14 f 261
173 -8 -23 n 262
44 -7 -29 n 263
714 -8 0 n 264
714 -5 0 n 265
848 -8 -35 n 0
266 -8 -14 f 267
171 -8 -23 n 268
43 -6 -29 n 269
714 -6 0 n 270
845 -8 -35 n 0
266 -8 -14 f 272
171 -8 -23 n 273
43 -6 -29 n 274
714 -6 0 n 275
846 -7 -36 n 0
266 -8 -14 f 277
171 -8 -23 n 278
43 -6 -29 n 279
714 -6 0 n 280
847 -7 -28 n 0
266 -8 -14 f 282
171 -8 -23 n 283
43 -6 -29 n 284
714 -6 0 n 285
848 -8 -36 n 0
266 -8 -14 n 287
167 -7 -23 n 288
42 -6 -28 n 289
714 -6 0 n 290
845 -8 -35 n 0
266 -8 -14 n 292
167 -7 -23 n 293
42 -6 -28 n 294
714 -6 0 n 295
846 -8 -36 n 0
266 -8 -14 n 297
167 -7 -23 n 298
42 -6 -28 n 299
714 -6 0 n 300
847 -7 -27 n 0
266 -8 -14 n 302
167 -7 -23 n 303
42 -6 -28 n 304
714 -6 0 n 305
848 -8 -34 n 0
264 -8 -14 f 307
163 -8 -23 n 308
41 -7 -28 n 309
714 -5 0 n 310
714 -8 0 n 311
845 -8 -35 n 0
264 -8 -14 f 313
163 -8 -23 n 314
41 -7 -28 n 315
714 -5 0 n 316
714 -8 0 n 317
846 -8 -34 n 0
264 -8 -14 f 319
163 -8 -23 n 320
41 -7 -28 n 321
714 -5 0 n 322
714 -8 0 n 323
847 -7 -27 n 0
264 -8 -14 f 325
163 -8 -23 n 326
41 -7 -28 n 327
714 -5 0 n 328
714 -8 0 n 329
848 -8 -34 n 0
266 -8 -14 f 331
165 -10 -23 f 332
42 -11 -28 f 333
714 -6 0 n 334
845 -8 -35 n 0
266 -8 -14 f 336
165 -10 -23 f 337
42 -11 -28 f 338
714 -6 0 n 339
846 -8 -36 n 0
266 -8 -14 f 341
165 -10 -23 f 342
42 -11 -28 f 343
714 -6 0 n 344
847 -7 -28 n 0
266 -8 -14 f 346
165 -10 -23 f 347
42 -11 -28 f 348
714 -6 0 n 349
848 -8 -35 n 0
266 -8 -14 n 351
43 -11 -29 f 352
171 -9 -23 f 353
714 -6 0 n 354
845 -8 -35 n 0
266 -8 -14 n 356
43 -11 -29 f 357
171 -9 -23 f 358
714 -6 0 n 359
846 -8 -35 n 0
266 -8 -14 n 361
43 -11 -29 f 362
171 -9 -23 f 363
714 -6 0 n 364
847 -6 -28 n 0
266 -8 -14 n 366
43 -11 -29 f 367
171 -9 -23 f 368
714 -6 0 n 369
848 -7 -35 n 0
264 -7 -14 f 371
44 -9 -29 f 372
451 -10 -23 f 373
714 -4 0 n 374
714 -7 0 n 0
45 -7 -30 n 376
456 -6 -24 n 377
277 -6 -15 n 378
714 -6 0 n 379
714 -3 -1 n 0
262 -9 -14 f 381
44 -7 -29 n 382
451 -6 -23 n 383
714 -5 0 n 384
714 -8 0 n 0
266 -8 -14 f 386
43 -6 -30 n 387
449 -5 -24 n 388
714 -6 0 n 0
266 -8 -14 n 390
42 -6 -29 n 391
444 -6 -24 n 392
714 -6 0 n 0
443 -7 -24 n 394
264 -6 -14 f 395
41 -9 -29 f 396
714 -6 0 n 397
714 -3 0 n 0
266 -7 -14 f 399
42 -9 -29 f 400
444 -9 -24 f 401
714 -5 0 n 0
266 -8 -14 n 403
43 -10 -30 f 404
449 -11 -24 f 405
714 -5 0 n 0
264 -7 -14 f 407
44 -9 -29 f 408
451 -10 -23 f 409
857 -19 -21 f 410
714 -4 0 n 411
714 -7 0 n 0
45 -7 -30 n 413
456 -6 -24 n 414
277 -6 -15 n 415
858 -1 -20 n 416
714 -6 0 n 417
714 -3 -1 n 0
262 -9 -14 f 419
44 -7 -29 n 420
451 -6 -23 n 421
857 3 -21 n 422
714 -5 0 n 423
714 -8 0 n 0
266 -8 -14 f 425
43 -6 -30 n 426
449 -5 -24 n 427
856 3 -23 n 428
714 -7 0 n 0
266 -8 -14 n 430
42 -6 -29 n 431
444 -6 -24 n 432
855 3 -25 n 433
714 -5 0 n 0
443 -7 -24 n 435
264 -6 -14 f 436
41 -9 -29 f 437
714 -6 0 n 438
714 -3 0 n 0
266 -7 -14 f 440
42 -9 -29 f 441
444 -9 -24 f 442
855 -18 -26 f 443
714 -5 0 n 0
266 -8 -14 n 445
43 -10 -30 f 446
449 -11 -24 f 447
856 -19 -23 f 448
714 -5 0 n 0
264 -7 -14 f 450
44 -9 -29 f 451
452 -9 -23 f 452
853 -18 -20 f 453
726 -22 -16 f 454
714 -4 0 n 455
714 -7 0 n 0
264 -7 -14 f 457
44 -9 -29 f 458
452 -9 -23 f 459
853 -18 -20 f 460
727 -24 -16 n 461
714 -7 0 n 462
714 -4 0 n 0
264 -7 -14 f 464
44 -9 -29 f 465
452 -9 -23 f 466
853 -18 -20 f 467
726 -24 -16 n 468
714 -7 0 n 469
714 -4 0 n 0
264 -7 -14 f 471
44 -9 -29 f 472
452 -9 -23 f 473
853 -18 -20 f 474
727 -22 -16 f 475
714 -7 0 n 476
714 -4 0 n 0
45 -6 -30 n 478
277 -6 -15 n 479
456 -6 -24 n 480
854 -1 -18 n 481
726 -8 -19 n 482
714 -6 0 n 483
714 -3 -1 n 0
277 -6 -15 n 485
456 -6 -24 n 486
854 -1 -18 n 487
45 -6 -30 n 488
727 -8 -19 n 489
714 -6 0 n 490
714 -3 -1 n 0
277 -6 -15 n 492
456 -6 -24 n 493
854 -1 -18 n 494
45 -6 -30 n 495
726 -6 -19 f 496
714 -6 0 n 497
714 -3 -1 n 0
277 -6 -15 n 499
456 -6 -24 n 500
854 -1 -18 n 501
45 -6 -30 n 502
727 -6 -19 f 503
714 -6 0 n 504
714 -3 -1 n 0
44 -7 -29 n 506
452 -7 -23 n 507
853 3 -19 n 508
262 -9 -14 f 509
726 7 -15 f 510
714 -5 0 n 511
714 -8 0 n 0
452 -7 -23 n 513
44 -7 -29 n 514
853 3 -19 n 515
262 -9 -14 f 516
727 5 -15 n 517
714 -5 0 n 518
714 -8 0 n 0
262 -9 -14 f 520
452 -7 -23 n 521
44 -7 -29 n 522
853 3 -19 n 523
726 5 -15 n 524
714 -5 0 n 525
714 -8 0 n 0
262 -9 -14 f 527
452 -7 -23 n 528
44 -7 -29 n 529
853 3 -19 n 530
727 7 -15 f 531
714 -5 0 n 532
714 -8 0 n 0
266 -8 -14 f 534
43 -6 -30 n 535
449 -5 -24 n 536
852 3 -22 n 537
727 11 -23 n 538
714 -7 0 n 0
266 -8 -14 f 540
449 -5 -24 n 541
43 -6 -30 n 542
852 3 -22 n 543
726 13 -23 f 544
714 -7 0 n 0
266 -8 -14 f 546
449 -5 -24 n 547
43 -6 -30 n 548
852 3 -22 n 549
727 13 -23 f 550
714 -7 0 n 0
266 -8 -14 f 552
449 -5 -24 n 553
43 -6 -30 n 554
852 3 -22 n 555
726 11 -23 n 556
714 -7 0 n 0
266 -8 -14 n 558
42 -6 -29 n 559
444 -6 -24 n 560
851 3 -23 n 561
727 7 -28 n 562
714 -6 0 n 0
266 -8 -14 n 564
444 -6 -24 n 565
42 -6 -29 n 566
851 3 -23 n 567
726 9 -28 f 568
714 -6 0 n 0
266 -8 -14 n 570
444 -6 -24 n 571
42 -6 -29 n 572
851 3 -23 n 573
727 9 -28 f 574
714 -6 0 n 0
266 -8 -14 n 576
444 -6 -24 n 577
42 -6 -29 n 578
851 3 -23 n 579
726 9 -28 f 580
714 -6 0 n 0
443 -7 -24 n 582
264 -6 -14 f 583
41 -9 -29 f 584
714 -6 0 n 0
266 -7 -14 f 586
42 -9 -29 f 587
726 -22 -28 f 588
445 -8 -24 f 589
851 -18 -23 f 590
714 -5 0 n 0
445 -8 -24 f 592
266 -7 -14 f 593
42 -9 -29 f 594
851 -18 -23 f 595
727 -24 -28 n 596
714 -5 0 n 0
445 -8 -24 f 598
266 -7 -14 f 599
42 -9 -29 f 600
851 -18 -23 f 601
726 -24 -28 n 602
714 -5 0 n 0
266 -7 -14 f 604
42 -9 -29 f 605
445 -8 -24 f 606
851 -18 -23 f 607
727 -22 -28 f 608
714 -5 0 n 0
266 -8 -14 n 610
43 -10 -30 f 611
449 -11 -24 f 612
852 -18 -22 f 613
726 -26 -23 f 614
714 -6 0 n 0
727 -28 -23 n 616
43 -10 -30 f 617
266 -8 -14 n 618
449 -11 -24 f 619
852 -18 -22 f 620
714 -6 0 n 0
726 -26 -23 f 622
43 -10 -30 f 623
266 -8 -14 n 624
449 -11 -24 f 625
852 -18 -22 f 626
714 -6 0 n 0
727 -26 -23 f 628
43 -10 -30 f 629
266 -8 -14 n 630
449 -11 -24 f 631
852 -18 -22 f 632
714 -6 0 n 0
264 -8 -14 f 634
44 -9 -29 f 635
453 -12 -23 f 636
714 -8 0 n 637
714 -5 0 n 0
45 -7 -29 n 639
455 -7 -24 n 640
277 -7 -15 n 641
714 -7 0 n 642
714 -4 -1 n 0
262 -9 -14 f 644
44 -6 -28 n 645
453 -5 -23 n 646
714 -5 0 n 647
714 -8 0 n 0
266 -8 -14 f 649
43 -6 -29 n 650
448 -6 -24 n 651
714 -7 0 n 0
266 -8 -14 n 653
42 -6 -28 n 654
446 -7 -23 n 655
714 -6 0 n 0
264 -6 -14 f 657
41 -10 -29 f 658
441 -7 -25 n 659
714 -6 0 n 660
714 -3 0 n 0
266 -7 -14 f 662
42 -9 -28 f 663
446 -9 -24 f 664
714 -5 0 n 0
266 -8 -14 n 666
43 -9 -29 f 667
448 -10 -24 f 668
714 -5 0 n 0
273 -7 -13 f 670
173 -7 -23 f 671
44 -9 -29 f 672
714 -5 0 n 673
714 -2 -1 n 674
845 -6 -34 n 0
274 -7 -14 f 676
174 -7 -22 f 677
44 -9 -28 f 678
714 -5 1 n 679
845 -6 -34 n 0
275 -7 -15 f 681
175 -7 -23 f 682
44 -9 -29 f 683
714 -3 0 n 684
714 -8 -1 n 685
846 -5 -34 n 0
276 -7 -15 f 687
176 -7 -22 f 688
44 -9 -28 f 689
714 -9 0 n 690
714 -1 0 n 691
846 -5 -34 n 0
273 -7 -13 f 693
173 -7 -23 f 694
44 -9 -29 f 695
714 -5 0 n 696
714 -2 -1 n 697
847 -6 -27 n 0
274 -7 -14 f 699
174 -7 -22 f 700
44 -9 -28 f 701
714 -5 1 n 702
847 -6 -27 n 0
275 -7 -15 f 704
175 -7 -23 f 705
44 -9 -29 f 706
714 -3 0 n 707
714 -8 -1 n 708
848 -6 -35 n 0
276 -7 -15 f 710
176 -7 -22 f 711
44 -9 -28 f 712
714 -9 0 n 713
714 -1 0 n 714
848 -6 -35 n 0
277 -8 -15 n 716
177 -8 -24 n 717
45 -8 -30 n 718
714 -8 0 n 719
714 -5 -1 n 720
845 -8 -35 n 0
278 -8 -17 n 722
178 -8 -25 n 723
45 -8 -31 n 724
714 -8 -1 n 725
714 -5 -2 n 726
845 -8 -35 n 0
279 -8 -16 n 728
179 -8 -25 n 729
45 -8 -30 n 730
714 -8 -1 n 731
714 -5 0 n 732
846 -8 -35 n 0
280 -8 -16 n 734
180 -8 -25 n 735
45 -8 -31 n 736
714 -5 0 n 737
714 -7 -1 n 738
846 -8 -35 n 0
277 -8 -15 n 740
177 -8 -24 n 741
45 -8 -30 n 742
714 -8 0 n 743
714 -5 -1 n 744
847 -6 -27 n 0
278 -8 -17 n 746
178 -8 -25 n 747
45 -8 -31 n 748
714 -8 -1 n 749
714 -5 -2 n 750
847 -6 -27 n 0
279 -8 -16 n 752
179 -8 -25 n 753
45 -8 -30 n 754
714 -8 -1 n 755
714 -5 0 n 756
848 -7 -35 n 0
280 -8 -16 n 758
180 -8 -25 n 759
45 -8 -31 n 760
714 -5 0 n 761
714 -7 -1 n 762
848 -7 -35 n 0
273 -8 -14 n 764
173 -8 -24 n 765
44 -6 -30 n 766
714 -6 -1 n 767
714 -8 0 n 768
845 -9 -35 n 0
274 -8 -15 n 770
174 -8 -23 n 771
44 -6 -29 n 772
714 -6 0 n 773
714 -8 -1 n 774
845 -9 -35 n 0
275 -8 -16 n 776
175 -8 -24 n 777
44 -6 -30 n 778
714 -8 -1 n 779
714 -5 -2 n 780
846 -9 -34 n 0
276 -8 -15 n 782
176 -8 -23 n 783
44 -6 -29 n 784
714 -2 0 n 785
714 -10 0 n 786
846 -8 -34 n 0
273 -8 -14 n 788
173 -8 -24 n 789
44 -6 -30 n 790
714 -6 -1 n 791
714 -8 0 n 792
847 -8 -27 n 0
274 -8 -15 n 794
174 -8 -23 n 795
44 -6 -29 n 796
714 -6 0 n 797
714 -8 -1 n 798
847 -8 -27 n 0
275 -8 -16 n 800
175 -8 -24 n 801
44 -6 -30 n 802
714 -8 -1 n 803
714 -5 -2 n 804
848 -8 -35 n 0
276 -8 -15 n 806
176 -8 -23 n 807
44 -6 -29 n 808
714 -2 0 n 809
714 -10 0 n 810
848 -8 -35 n 0
269 -7 -15 n 812
169 -7 -23 n 813
43 -5 -29 n 814
714 -6 0 n 815
714 -8 0 n 816
845 -9 -34 n 0
270 -8 -14 n 818
170 -7 -22 n 819
43 -5 -28 n 820
714 -2 0 n 821
714 -9 0 n 822
845 -9 -34 n 0
271 -7 -14 n 824
171 -7 -23 n 825
43 -5 -29 n 826
714 -8 0 n 827
714 -6 0 n 828
846 -8 -34 n 0
272 -8 -13 n 830
172 -7 -23 n 831
43 -5 -28 n 832
714 -9 0 n 833
714 -2 0 n 834
846 -8 -34 n 0
269 -7 -15 n 836
169 -7 -23 n 837
43 -5 -29 n 838
714 -6 0 n 839
714 -8 0 n 840
847 -7 -26 n 0
270 -8 -14 n 842
170 -7 -22 n 843
43 -5 -28 n 844
714 -2 0 n 845
714 -9 0 n 846
847 -7 -26 n 0
271 -7 -14 n 848
171 -7 -23 n 849
43 -5 -29 n 850
714 -8 0 n 851
714 -6 0 n 852
848 -8 -34 n 0
272 -8 -13 n 854
172 -7 -23 n 855
43 -5 -28 n 856
714 -9 0 n 857
714 -2 0 n 858
848 -8 -34 n 0
265 -8 -15 n 860
165 -7 -24 n 861
42 -6 -29 n 862
714 -5 0 n 863
714 -9 -1 n 864
845 -9 -34 n 0
266 -8 -14 n 866
166 -8 -23 n 867
42 -6 -28 n 868
714 -6 0 n 869
845 -9 -34 n 0
267 -7 -15 n 871
167 -7 -24 n 872
42 -6 -29 n 873
714 -7 0 n 874
714 -6 1 n 875
846 -8 -33 n 0
268 -7 -15 n 877
168 -7 -23 n 878
42 -6 -28 n 879
714 -3 0 n 880
714 -9 0 n 881
846 -8 -33 n 0
265 -8 -15 n 883
165 -7 -24 n 884
42 -6 -29 n 885
714 -5 0 n 886
714 -9 -1 n 887
847 -7 -27 n 0
266 -8 -14 n 889
166 -8 -23 n 890
42 -6 -28 n 891
714 -6 0 n 892
847 -7 -27 n 0
267 -7 -15 n 894
167 -7 -24 n 895
42 -6 -29 n 896
714 -7 0 n 897
714 -6 1 n 898
848 -8 -35 n 0
268 -7 -15 n 900
168 -7 -23 n 901
42 -6 -28 n 902
714 -3 0 n 903
714 -9 0 n 904
848 -8 -35 n 0
261 -8 -15 n 906
161 -8 -24 n 907
41 -6 -29 n 908
714 -4 0 n 909
714 -7 -1 n 910
845 -8 -34 n 0
262 -7 -14 n 912
162 -7 -23 n 913
41 -6 -28 n 914
714 -4 0 n 915
714 -7 0 n 916
845 -8 -34 n 0
263 -7 -15 n 918
163 -7 -24 n 919
41 -6 -29 n 920
714 -8 0 n 921
714 -4 -1 n 922
846 -7 -34 n 0
264 -8 -14 n 924
164 -8 -23 n 925
41 -6 -28 n 926
714 -7 0 n 927
714 -4 0 n 928
846 -7 -34 n 0
261 -8 -15 n 930
161 -8 -24 n 931
41 -6 -29 n 932
714 -4 0 n 933
714 -7 -1 n 934
847 -6 -26 n 0
262 -7 -14 n 936
162 -7 -23 n 937
41 -6 -28 n 938
714 -4 0 n 939
714 -7 0 n 940
847 -6 -26 n 0
263 -7 -15 n 942
163 -7 -24 n 943
41 -6 -29 n 944
714 -8 0 n 945
714 -4 -1 n 946
848 -7 -34 n 0
264 -8 -14 n 948
164 -8 -23 n 949
41 -6 -28 n 950
714 -7 0 n 951
714 -4 0 n 952
848 -7 -34 n 0
265 -8 -15 f 954
165 -8 -24 f 955
42 -9 -29 f 956
714 -7 0 n 957
714 -3 -1 n 958
845 -8 -34 n 0
266 -7 -14 f 960
166 -7 -23 f 961
42 -9 -28 f 962
714 -5 0 n 963
845 -8 -34 n 0
267 -8 -15 f 965
167 -8 -24 f 966
42 -9 -29 f 967
714 -4 0 n 968
714 -6 1 n 969
846 -7 -33 n 0
268 -8 -15 f 971
168 -8 -23 f 972
42 -9 -28 f 973
714 -9 0 n 974
714 -2 0 n 975
846 -7 -33 n 0
265 -8 -15 f 977
165 -8 -24 f 978
42 -9 -29 f 979
714 -7 0 n 980
714 -3 -1 n 981
847 -6 -27 n 0
266 -7 -14 f 983
166 -7 -23 f 984
42 -9 -28 f 985
714 -5 0 n 986
847 -6 -27 n 0
267 -8 -15 f 988
167 -8 -24 f 989
42 -9 -29 f 990
714 -4 0 n 991
714 -6 1 n 992
848 -6 -34 n 0
268 -8 -15 f 994
168 -8 -23 f 995
42 -9 -28 f 996
714 -9 0 n 997
714 -2 0 n 998
848 -6 -34 n 0
269 -8 -15 f 1000
169 -8 -23 f 1001
43 -10 -29 f 1002
714 -5 0 n 1003
714 -3 0 n 1004
845 -7 -34 n 0
270 -7 -14 f 1006
170 -8 -22 f 1007
43 -10 -28 f 1008
714 -2 0 n 1009
714 -9 0 n 1010
845 -7 -34 n 0
271 -8 -14 f 1012
171 -8 -23 f 1013
43 -10 -29 f 1014
714 -5 0 n 1015
714 -3 0 n 1016
846 -6 -35 n 0
272 -7 -13 f 1018
172 -8 -23 f 1019
43 -10 -28 f 1020
714 -2 0 n 1021
714 -9 0 n 1022
846 -6 -35 n 0
269 -8 -15 f 1024
169 -8 -23 f 1025
43 -10 -29 f 1026
714 -5 0 n 1027
714 -3 0 n 1028
847 -6 -27 n 0
270 -7 -14 f 1030
170 -8 -22 f 1031
43 -10 -28 f 1032
714 -2 0 n 1033
714 -9 0 n 1034
847 -6 -27 n 0
271 -8 -14 f 1036
171 -8 -23 f 1037
43 -10 -29 f 1038
714 -5 0 n 1039
714 -3 0 n 1040
848 -6 -34 n 0
272 -7 -13 f 1042
172 -8 -23 f 1043
43 -10 -28 f 1044
714 -2 0 n 1045
714 -9 0 n 1046
848 -6 -34 n 0
273 -7 -14 f 1048
44 -8 -29 f 1049
451 -9 -23 f 1050
714 -5 -1 n 1051
714 -3 -2 n 0
274 -7 -15 f 1053
44 -8 -28 f 1054
451 -9 -22 f 1055
714 -5 0 n 0
275 -7 -16 f 1057
44 -8 -29 f 1058
451 -9 -23 f 1059
714 -3 -1 n 1060
714 -7 -2 n 0
276 -7 -15 f 1062
44 -8 -28 f 1063
451 -9 -22 f 1064
714 -9 0 n 1065
714 -1 0 n 0
45 -8 -30 n 1067
277 -8 -15 n 1068
456 -8 -24 n 1069
714 -8 0 n 1070
714 -5 -1 n 0
278 -8 -17 n 1072
45 -8 -31 n 1073
456 -8 -25 n 1074
714 -8 -1 n 1075
714 -5 -2 n 0
279 -8 -16 n 1077
45 -8 -30 n 1078
456 -8 -24 n 1079
714 -5 0 n 1080
714 -8 -1 n 0
280 -8 -16 n 1082
45 -8 -31 n 1083
456 -8 -25 n 1084
714 -8 -1 n 1085
714 -5 0 n 0
273 -8 -14 n 1087
44 -7 -29 n 1088
451 -6 -23 n 1089
714 -6 -1 n 1090
714 -8 -2 n 0
274 -8 -15 n 1092
44 -7 -28 n 1093
451 -6 -22 n 1094
714 -6 0 n 0
275 -8 -16 n 1096
44 -7 -29 n 1097
451 -6 -23 n 1098
714 -8 -1 n 1099
714 -5 -2 n 0
276 -8 -15 n 1101
44 -7 -28 n 1102
451 -6 -22 n 1103
714 -2 0 n 1104
714 -10 0 n 0
269 -7 -15 n 1106
43 -6 -30 n 1107
449 -5 -24 n 1108
714 -7 0 n 1109
714 -8 0 n 0
270 -8 -14 n 1111
43 -6 -29 n 1112
449 -5 -23 n 1113
714 -9 0 n 1114
714 -2 0 n 0
271 -7 -14 n 1116
43 -6 -30 n 1117
449 -5 -24 n 1118
714 -6 0 n 1119
714 -8 0 n 0
272 -8 -13 n 1121
43 -6 -29 n 1122
449 -5 -23 n 1123
714 -9 0 n 1124
714 -2 0 n 0
265 -8 -15 n 1126
42 -7 -29 n 1127
444 -7 -24 n 1128
714 -5 0 n 1129
714 -8 -1 n 0
266 -8 -14 n 1131
42 -7 -28 n 1132
444 -7 -23 n 1133
714 -6 0 n 0
267 -7 -15 n 1135
42 -7 -29 n 1136
444 -7 -24 n 1137
714 -7 0 n 1138
714 -5 1 n 0
268 -7 -15 n 1140
42 -7 -28 n 1141
444 -7 -23 n 1142
714 -9 0 n 1143
714 -2 0 n 0
261 -8 -15 n 1145
41 -6 -29 n 1146
443 -8 -25 n 1147
714 -4 0 n 1148
714 -7 -1 n 0
262 -7 -14 n 1150
41 -6 -28 n 1151
443 -8 -24 n 1152
714 -7 0 n 1153
714 -4 0 n 0
263 -7 -15 n 1155
41 -6 -29 n 1156
443 -8 -25 n 1157
714 -8 0 n 1158
714 -4 -1 n 0
264 -8 -14 n 1160
41 -6 -28 n 1161
443 -8 -24 n 1162
714 -4 0 n 1163
714 -7 0 n 0
265 -8 -15 f 1165
42 -9 -29 f 1166
444 -9 -24 f 1167
714 -7 0 n 1168
714 -4 -1 n 0
266 -7 -14 f 1170
42 -9 -28 f 1171
444 -9 -23 f 1172
714 -5 0 n 0
267 -8 -15 f 1174
42 -9 -29 f 1175
444 -9 -24 f 1176
714 -4 0 n 1177
